transaction_id,date,region,transaction_type,amount_etb,channel,is_rural
1070,2023-02-13,Sidama,Withdrawal,134.13,Agent,True
1071,2023-06-11,SNNP,Payment,2607.95,Agent,True
1072,2023-07-21,Tigray,Transfer,421.28,Agent,True
1073,2023-09-27,Tigray,Deposit,8139.7,POS,False
1074,2023-12-17,Amhara,Deposit,5166.22,POS,False
1075,2023-10-31,Addis Ababa,Transfer,727.91,USSD,True
1076,2023-09-28,Addis Ababa,Deposit,1379.12,Agent,False
1077,2023-08-03,Amhara,Transfer,608.61,Agent,True
1078,2023-09-09,Amhara,Payment,2713.46,Mobile App,False
1079,2023-07-09,Amhara,Transfer,12490.37,POS,False
1080,2023-10-23,SNNP,Withdrawal,679.54,Agent,True
1081,2023-08-01,Sidama,Transfer,6349.11,USSD,True
1082,2023-07-27,Addis Ababa,Withdrawal,1345.62,USSD,True
1083,2023-08-25,SNNP,Withdrawal,907.5,POS,True
1084,2023-12-04,Amhara,Payment,2538.82,USSD,False
1085,2023-02-22,Addis Ababa,Withdrawal,630.89,USSD,True
1086,2023-10-07,SNNP,Payment,1299.23,POS,True
1087,2023-08-05,Sidama,Payment,494.32,Agent,False
1088,2023-09-09,SNNP,Deposit,56788.42,Agent,False
1089,2023-07-07,Sidama,Deposit,3142.88,USSD,True
1090,2023-02-10,Amhara,Deposit,1043.58,USSD,True
1091,2023-06-06,Sidama,Deposit,4109.14,Agent,True
1092,2023-01-15,Addis Ababa,Deposit,2518.72,POS,True
1093,2023-10-28,Amhara,Transfer,2139.97,USSD,False
1094,2023-03-06,Addis Ababa,Deposit,7489.45,Mobile App,True
1095,2023-12-11,Tigray,Withdrawal,9285.99,POS,True
1096,2023-11-23,Oromia,Transfer,1345.13,USSD,True
1097,2023-01-09,Sidama,Deposit,1256.74,USSD,True
1098,2023-12-10,Oromia,Transfer,1973.22,Mobile App,False
1099,2023-05-09,Oromia,Deposit,94.36,Mobile App,False
1100,2023-05-16,Sidama,Deposit,307.11,Agent,True
1101,2023-03-04,Amhara,Transfer,23163.0,POS,True
1102,2023-05-19,Tigray,Transfer,35152.52,POS,True
1103,2023-03-22,Addis Ababa,Payment,2051.75,Agent,False
1104,2023-06-12,SNNP,Transfer,7078.63,POS,False
1105,2023-10-16,Addis Ababa,Transfer,4754.64,POS,True
1106,2023-09-18,SNNP,Deposit,302041.96,POS,False
1107,2023-08-19,Addis Ababa,Deposit,15984.3,POS,False
1108,2023-02-10,Sidama,Transfer,2460.51,POS,True
1109,2023-01-28,Tigray,Transfer,711.01,Mobile App,False
1110,2023-05-15,SNNP,Payment,267.82,POS,True
1111,2023-07-20,Amhara,Withdrawal,4044.83,Mobile App,True
1112,2023-11-24,Addis Ababa,Withdrawal,958.6,POS,True
1113,2023-09-25,Addis Ababa,Transfer,353.05,Agent,True
1114,2023-02-02,SNNP,Withdrawal,1130.19,USSD,True
1115,2023-02-17,Amhara,Payment,588.56,Mobile App,False
1116,2023-03-03,Amhara,Payment,37448.14,POS,True
1117,2023-08-04,Sidama,Withdrawal,11186.46,Agent,False
1118,2023-10-20,Sidama,Transfer,2945.52,USSD,True
1119,2023-04-09,Sidama,Transfer,27444.37,Mobile App,True
1120,2023-06-21,Sidama,Deposit,3347.78,USSD,True
1121,2023-12-26,Sidama,Payment,818.99,Agent,True
1122,2023-08-02,Sidama,Withdrawal,29280.77,Mobile App,False
1123,2023-02-04,Tigray,Transfer,6689.97,USSD,True
1124,2023-08-15,Amhara,Withdrawal,629.0,POS,True
1125,2023-04-11,Sidama,Payment,2240.58,Mobile App,True
1126,2023-05-11,Amhara,Withdrawal,801.57,USSD,False
1127,2023-09-14,Amhara,Deposit,374.58,Agent,False
1128,2023-01-05,Oromia,Payment,11959.32,Agent,False
1129,2023-08-06,Tigray,Deposit,52267.23,Mobile App,True
1130,2023-09-12,Sidama,Withdrawal,365.82,USSD,True
1131,2023-12-25,Addis Ababa,Payment,6935.82,Mobile App,True
1132,2023-10-10,SNNP,Payment,1123.31,Mobile App,True
1133,2023-07-26,Addis Ababa,Transfer,1435.56,USSD,True
1134,2023-01-15,Tigray,Transfer,1225.87,USSD,True
1135,2023-12-12,SNNP,Withdrawal,815.67,POS,True
1136,2023-02-11,Tigray,Deposit,3206.01,USSD,True
1137,2023-06-28,Amhara,Withdrawal,857.12,Agent,False
1138,2023-03-04,SNNP,Transfer,4472.42,Mobile App,True
1139,2023-12-18,Amhara,Transfer,2764.58,Mobile App,True
1140,2023-08-19,Addis Ababa,Transfer,2083.03,Agent,False
1141,2023-08-29,Addis Ababa,Transfer,764.07,USSD,True
1142,2023-02-21,SNNP,Deposit,1254.94,Agent,False
1143,2023-04-06,SNNP,Withdrawal,9256.55,Agent,True
1144,2023-08-10,Sidama,Deposit,6319.38,POS,True
1145,2023-08-19,Tigray,Withdrawal,687.92,Agent,False
1146,2023-08-25,Sidama,Withdrawal,3459.91,Mobile App,False
1147,2023-05-23,Tigray,Payment,9201.12,Agent,False
1148,2023-06-20,Sidama,Withdrawal,243.69,Mobile App,True
1149,2023-01-29,Amhara,Deposit,6734.78,Mobile App,True
1150,2023-02-05,SNNP,Deposit,1103.3,Mobile App,True
1151,2023-01-13,Addis Ababa,Transfer,7015.65,USSD,True
1152,2023-06-09,Tigray,Transfer,948.72,POS,False
1153,2023-11-23,Tigray,Deposit,198.88,Mobile App,True
1154,2023-07-06,Addis Ababa,Deposit,259.48,Mobile App,False
1155,2023-08-31,Sidama,Transfer,3203.91,USSD,True
1156,2023-03-27,Tigray,Deposit,4400.99,Mobile App,True
1157,2023-10-11,Amhara,Transfer,767.8,Agent,True
1158,2023-03-07,SNNP,Transfer,7768.94,Agent,False
1159,2023-06-19,Addis Ababa,Deposit,246.59,POS,False
1160,2023-02-14,SNNP,Deposit,2699.66,Mobile App,False
1161,2023-03-03,Tigray,Payment,484.67,USSD,False
1162,2023-05-14,Tigray,Withdrawal,1121.3,Agent,False
1163,2023-10-11,Addis Ababa,Withdrawal,3200.61,USSD,False
1164,2023-01-28,Amhara,Transfer,820.06,USSD,True
1165,2023-04-18,Oromia,Payment,1674.33,Agent,True
1166,2023-02-13,Addis Ababa,Payment,13486.43,USSD,True
1167,2023-12-06,Oromia,Transfer,1254.71,Agent,False
1168,2023-10-13,Sidama,Withdrawal,10441.44,USSD,False
1169,2023-11-27,Oromia,Deposit,547.54,Agent,True
1170,2023-05-08,Amhara,Transfer,6599.22,Mobile App,False
1171,2023-12-14,Sidama,Transfer,25909.19,POS,False
1172,2023-08-19,Oromia,Withdrawal,73.15,Agent,True
1173,2023-07-09,Sidama,Payment,902.04,Agent,True
1174,2023-08-13,Oromia,Deposit,7084.1,POS,False
1175,2023-10-10,Amhara,Withdrawal,2198.28,Agent,True
1176,2023-05-01,Oromia,Deposit,5201.59,Agent,False
1177,2023-04-26,Oromia,Withdrawal,1204.74,USSD,True
1178,2023-08-21,Oromia,Deposit,3394.41,POS,False
1179,2023-09-16,Addis Ababa,Deposit,2360.16,Mobile App,False
1180,2023-12-25,Addis Ababa,Deposit,17182.95,Agent,False
1181,2023-07-17,Addis Ababa,Transfer,4366.13,POS,True
1182,2023-05-17,Amhara,Transfer,4946.34,USSD,False
1183,2023-11-14,Sidama,Transfer,1607.1,Mobile App,False
1184,2023-06-14,Tigray,Payment,1434.53,POS,True
1185,2023-08-13,Oromia,Withdrawal,1558.01,Mobile App,False
1186,2023-11-03,Oromia,Deposit,5386.65,Mobile App,True
1187,2023-08-22,Amhara,Payment,1585.29,Mobile App,True
1188,2023-06-21,Oromia,Deposit,4603.91,Agent,True
1189,2023-06-01,Addis Ababa,Payment,67043.79,Agent,True
1190,2023-11-11,Tigray,Deposit,11011.41,USSD,True
1191,2023-06-09,SNNP,Payment,1827.98,USSD,False
1192,2023-04-06,Oromia,Deposit,18066.61,POS,True
1193,2023-08-21,Addis Ababa,Payment,1616.29,USSD,False
1194,2023-06-29,SNNP,Withdrawal,140.16,Mobile App,True
1195,2023-04-23,Tigray,Payment,657.12,Mobile App,True
1196,2023-11-14,SNNP,Deposit,180.15,Agent,True
1197,2023-02-21,Addis Ababa,Transfer,1759.4,Mobile App,False
1198,2023-09-25,Sidama,Payment,3064.46,POS,True
1199,2023-10-22,Sidama,Withdrawal,36851.66,Mobile App,False
