date,region,avg_temperature_c,max_temperature_c,min_temperature_c,rainfall_mm,humidity_percent
2023-02-18,Tigray,11.28,21.95,23.6,0.0,32
2023-02-19,Sidama,22.88,33.59,7.96,0.0,87
2023-02-20,Tigray,26.91,31.88,5.64,0.0,84
2023-02-21,Amhara,13.77,19.78,24.25,0.0,86
2023-02-22,Sidama,27.45,37.41,19.01,0.0,46
2023-02-23,Tigray,18.51,29.29,13.71,0.41,68
2023-02-24,Tigray,23.03,26.09,16.69,5.83,84
2023-02-25,Sidama,19.23,30.08,16.97,7.69,74
2023-02-26,Amhara,24.86,24.09,13.62,7.93,30
2023-02-27,Tigray,27.12,30.18,16.57,0.0,50
2023-02-28,SNNP,25.24,24.83,17.42,2.97,50
2023-03-01,Sidama,21.98,36.08,24.06,0.0,81
2023-03-02,Oromia,19.62,28.24,19.85,1.8,72
2023-03-03,Oromia,21.65,30.6,22.96,3.15,81
2023-03-04,Amhara,25.28,24.86,10.63,0.0,73
2023-03-05,SNNP,25.45,31.27,14.61,3.11,61
2023-03-06,Tigray,24.75,27.95,16.97,0.0,39
2023-03-07,Oromia,15.59,22.35,8.32,3.04,93
2023-03-08,Amhara,21.88,27.04,20.73,0.0,57
2023-03-09,SNNP,18.83,35.72,18.57,2.59,82
2023-03-10,SNNP,25.32,31.44,14.53,0.0,80
2023-03-11,Amhara,18.18,26.48,15.27,0.08,82
2023-03-12,Amhara,24.26,20.52,21.02,1.67,33
2023-03-13,Tigray,20.59,24.67,12.82,2.87,46
2023-03-14,Amhara,12.6,22.37,21.18,0.0,76
2023-03-15,Tigray,26.65,20.62,14.99,0.0,85
2023-03-16,Tigray,21.87,31.14,19.02,0.0,52
2023-03-17,Sidama,28.38,28.25,16.35,2.46,47
2023-03-18,SNNP,13.67,35.18,24.93,0.0,30
2023-03-19,SNNP,20.54,24.01,12.45,0.0,64
2023-03-20,SNNP,20.92,27.99,13.71,0.0,93
2023-03-21,Sidama,23.35,22.42,9.98,0.07,87
2023-03-22,Tigray,15.37,25.62,11.61,0.0,88
2023-03-23,Tigray,24.72,27.11,18.85,0.0,30
2023-03-24,Amhara,31.56,26.5,22.4,0.0,32
2023-03-25,Sidama,24.37,28.21,19.31,8.19,66
2023-03-26,Amhara,22.46,31.89,15.98,0.0,58
2023-03-27,Sidama,15.11,31.47,12.43,12.7,62
2023-03-28,Amhara,18.13,24.92,19.59,10.37,90
2023-03-29,Oromia,21.72,27.88,12.21,0.0,33
2023-03-30,SNNP,19.35,31.18,10.6,0.0,43
2023-03-31,SNNP,27.13,32.14,14.77,1.49,62
2023-04-01,Tigray,24.67,25.36,7.86,0.0,51
2023-04-02,Oromia,35.46,30.83,10.47,0.0,77
2023-04-03,SNNP,17.1,29.32,23.54,0.0,32
2023-04-04,Tigray,22.17,23.74,9.73,0.17,52
2023-04-05,Oromia,15.08,31.2,11.25,4.46,50
2023-04-06,SNNP,10.89,28.61,16.29,0.0,72
2023-04-07,Amhara,25.61,21.03,16.5,0.0,55
2023-04-08,Sidama,24.48,26.82,15.06,0.0,70
2023-04-09,Oromia,17.73,28.16,7.99,0.0,67
2023-04-10,Tigray,22.47,25.58,19.39,0.0,40
2023-04-11,Oromia,18.85,32.91,14.23,7.05,58
2023-04-12,Tigray,19.53,33.06,20.88,0.0,89
2023-04-13,Oromia,20.4,26.47,13.42,0.0,94
2023-04-14,Tigray,17.52,26.03,19.93,0.0,90
2023-04-15,SNNP,18.42,27.48,21.18,1.93,48
2023-04-16,Amhara,18.56,27.2,14.13,9.11,75
2023-04-17,SNNP,24.11,25.63,19.52,5.31,78
2023-04-18,Amhara,8.13,13.16,10.69,0.0,51
2023-04-19,SNNP,20.86,35.02,17.05,0.0,86
2023-04-20,SNNP,16.56,28.0,20.89,0.0,43
2023-04-21,Oromia,16.74,27.29,18.07,0.0,73
2023-04-22,Sidama,19.37,29.3,25.62,27.82,45
2023-04-23,Tigray,21.93,27.68,18.3,0.0,41
2023-04-24,Tigray,20.93,26.28,14.54,1.88,84
2023-04-25,Tigray,16.68,23.98,27.36,0.0,80
2023-04-26,Amhara,25.61,20.65,22.53,5.45,68
2023-04-27,Tigray,17.49,22.58,9.59,0.0,62
2023-04-28,Tigray,18.33,23.53,12.86,0.0,62
2023-04-29,Oromia,23.42,30.6,11.85,6.44,58
2023-04-30,SNNP,23.6,30.9,18.58,1.19,60
2023-05-01,Tigray,18.94,24.47,18.28,0.56,60
2023-05-02,Sidama,7.32,17.35,18.25,0.0,75
2023-05-03,Tigray,17.57,28.04,9.48,0.0,81
2023-05-04,Amhara,22.81,26.31,13.45,0.0,39
2023-05-05,Amhara,25.44,26.21,15.4,0.0,70
2023-05-06,Amhara,21.6,31.82,8.71,1.98,32
2023-05-07,Tigray,19.61,28.55,12.51,0.0,88
2023-05-08,Oromia,33.47,24.09,21.43,0.0,81
2023-05-09,Sidama,20.14,23.17,9.78,0.0,63
2023-05-10,Tigray,25.06,26.95,21.82,0.0,78
2023-05-11,Oromia,15.32,24.37,20.36,3.39,57
2023-05-12,Oromia,16.55,27.71,14.84,7.67,42
2023-05-13,Tigray,25.24,32.1,13.4,0.0,90
2023-05-14,Tigray,27.22,22.48,19.33,0.0,89
2023-05-15,Oromia,20.05,28.35,12.85,0.0,53
2023-05-16,Oromia,12.76,31.66,13.05,0.0,92
2023-05-17,Oromia,21.16,27.66,15.9,3.26,90
2023-05-18,Tigray,22.95,30.89,7.48,0.95,52
2023-05-19,Oromia,22.49,26.85,10.2,0.0,59
2023-05-20,Amhara,19.18,28.68,14.74,0.0,89
2023-05-21,Tigray,21.24,29.76,17.9,4.04,47
2023-05-22,Amhara,18.25,25.71,12.79,0.0,85
2023-05-23,SNNP,16.44,35.96,15.21,0.0,82
2023-05-24,Tigray,25.78,30.31,9.55,0.03,36
2023-05-25,SNNP,22.49,33.21,19.73,12.49,81
2023-05-26,Oromia,21.25,32.28,16.88,0.0,33
2023-05-27,Oromia,19.46,29.31,17.23,0.0,63
2023-05-28,Sidama,21.1,33.54,17.95,0.0,62
2023-05-29,Oromia,22.8,28.75,16.31,0.0,67
2023-05-30,SNNP,30.64,25.08,14.06,0.0,55
2023-05-31,Oromia,25.27,28.06,20.52,3.19,30
2023-06-01,Tigray,18.67,23.98,16.63,0.0,33
2023-06-02,Oromia,18.72,19.59,15.34,0.0,68
2023-06-03,Sidama,17.94,24.59,15.97,0.0,83
2023-06-04,Oromia,21.0,28.29,15.88,4.92,62
2023-06-05,SNNP,17.94,32.25,15.3,0.0,62
2023-06-06,SNNP,24.37,24.58,17.78,0.0,49
2023-06-07,Oromia,8.78,32.04,12.26,0.0,45
2023-06-08,SNNP,24.68,23.16,12.55,1.83,50
2023-06-09,SNNP,23.38,24.32,18.24,5.33,74
2023-06-10,Sidama,28.31,33.8,15.42,0.0,91
2023-06-11,Tigray,26.38,28.19,19.89,0.0,60
2023-06-12,Sidama,18.58,27.31,17.64,8.59,71
2023-06-13,Amhara,25.82,28.94,13.79,4.39,41
2023-06-14,Sidama,21.16,23.17,18.3,0.0,94
2023-06-15,Oromia,12.33,26.68,20.79,1.92,32
2023-06-16,Tigray,22.79,28.01,17.79,6.56,38
2023-06-17,Oromia,18.88,32.93,18.66,0.0,80
2023-06-18,Amhara,22.0,21.32,15.31,0.0,45
2023-06-19,Tigray,30.26,35.05,19.97,0.36,32
2023-06-20,SNNP,23.12,27.5,13.68,0.0,53
2023-06-21,Sidama,16.91,23.56,17.35,3.46,42
2023-06-22,Oromia,26.82,22.83,26.28,2.89,31
2023-06-23,Amhara,23.81,29.09,18.16,4.72,50
2023-06-24,SNNP,16.32,22.61,14.32,4.89,48
2023-06-25,Sidama,13.97,25.76,14.31,0.71,76
2023-06-26,SNNP,17.11,27.0,15.71,0.0,51
2023-06-27,Sidama,26.18,32.57,19.4,0.0,62
2023-06-28,Tigray,20.49,32.07,16.58,11.77,61
2023-06-29,SNNP,22.41,25.43,13.41,0.0,93
2023-06-30,SNNP,15.31,27.15,13.4,0.0,68
2023-07-01,SNNP,26.32,21.62,16.61,0.0,71
2023-07-02,Tigray,11.92,19.84,16.17,0.0,38
2023-07-03,Amhara,18.72,23.08,17.82,0.0,54
2023-07-04,Sidama,24.09,32.49,19.67,0.0,31
2023-07-05,SNNP,16.39,31.12,26.91,0.0,48
2023-07-06,Tigray,25.07,29.53,10.15,0.0,49
2023-07-07,Amhara,17.65,22.17,18.75,2.54,46
2023-07-08,Sidama,15.87,25.15,16.39,1.96,32
2023-07-09,Tigray,28.43,24.57,8.62,0.0,80
2023-07-10,Sidama,22.77,27.34,21.0,0.72,55
2023-07-11,SNNP,24.6,27.08,17.68,0.0,85
2023-07-12,Amhara,27.09,23.99,19.2,0.0,93
2023-07-13,Tigray,8.9,29.4,9.2,0.0,37
2023-07-14,Amhara,25.17,28.92,15.12,0.0,66
2023-07-15,SNNP,18.19,25.08,11.68,0.0,56
2023-07-16,Amhara,18.85,29.22,24.65,0.0,74
2023-07-17,Amhara,24.19,32.5,20.58,1.47,33
2023-07-18,Oromia,20.18,33.71,13.28,12.3,66
2023-07-19,Amhara,24.97,29.96,9.85,0.0,62
2023-07-20,Sidama,21.8,29.85,16.78,0.0,60
2023-07-21,Tigray,22.84,27.04,20.37,7.08,84
2023-07-22,Oromia,19.55,32.12,9.06,0.0,41
2023-07-23,Tigray,16.68,23.72,12.27,0.0,40
2023-07-24,Tigray,18.3,31.66,11.58,0.0,61
2023-07-25,SNNP,21.49,26.85,19.47,1.27,86
2023-07-26,SNNP,31.19,33.96,14.52,0.0,67
2023-07-27,Oromia,29.36,30.35,14.69,0.0,89
2023-07-28,SNNP,18.73,27.73,16.7,0.0,48
2023-07-29,SNNP,22.3,27.05,12.49,0.0,85
2023-07-30,SNNP,20.56,30.1,10.23,10.4,43
2023-07-31,Tigray,22.65,29.91,21.48,0.0,62
2023-08-01,Oromia,23.29,26.41,21.85,0.0,39
2023-08-02,Tigray,24.64,28.37,16.72,0.0,93
2023-08-03,Sidama,7.49,31.59,17.01,0.0,93
2023-08-04,Tigray,23.83,22.55,21.04,0.0,91
2023-08-05,Sidama,20.01,30.9,16.63,7.14,72
2023-08-06,Amhara,18.48,30.08,14.32,0.0,88
2023-08-07,Amhara,25.97,32.75,16.16,0.0,81
2023-08-08,Sidama,29.33,25.14,21.57,0.0,48
2023-08-09,Sidama,25.45,28.02,16.21,0.0,50
2023-08-10,Tigray,19.41,28.82,13.32,0.0,51
2023-08-11,Sidama,16.62,30.96,16.59,9.63,38
2023-08-12,Oromia,6.97,29.72,18.62,7.61,38
2023-08-13,Amhara,22.91,23.04,18.15,0.55,56
2023-08-14,Amhara,24.9,29.16,18.21,0.57,46
2023-08-15,Sidama,21.49,36.02,12.69,0.53,73
2023-08-16,SNNP,26.67,30.45,19.08,0.06,74
2023-08-17,SNNP,15.4,34.55,16.11,0.0,37
2023-08-18,Sidama,21.14,32.17,13.15,0.0,47
2023-08-19,Oromia,20.75,33.45,19.05,2.89,62
2023-08-20,SNNP,21.45,29.24,14.19,0.0,30
2023-08-21,Sidama,27.84,30.09,9.7,17.21,35
2023-08-22,Oromia,21.48,29.02,12.0,1.47,70
2023-08-23,Oromia,20.53,28.02,15.27,9.78,84
2023-08-24,Tigray,17.32,30.97,18.31,0.0,34
2023-08-25,Oromia,28.64,25.92,12.54,0.0,88
2023-08-26,SNNP,14.84,35.54,15.04,0.0,47
2023-08-27,SNNP,19.24,24.29,11.13,0.0,78
2023-08-28,Sidama,30.47,31.25,19.93,0.0,94
2023-08-29,Sidama,24.34,33.51,22.87,0.0,83
2023-08-30,Oromia,21.9,27.29,22.44,0.0,90
2023-08-31,Amhara,22.11,23.55,19.86,0.0,37
2023-09-01,Tigray,17.27,32.62,19.45,0.0,32
2023-09-02,Amhara,21.66,28.81,7.71,0.77,54
2023-09-03,Oromia,20.25,31.25,16.71,0.0,84
2023-09-04,Oromia,22.9,27.56,14.02,0.0,69
2023-09-05,Amhara,14.47,34.93,19.52,0.0,79
2023-09-06,Tigray,23.99,19.53,5.85,17.23,62
2023-09-07,Amhara,27.08,29.5,16.77,7.56,47
2023-09-08,Sidama,20.98,33.37,15.14,0.0,86
2023-09-09,SNNP,25.24,28.42,20.47,0.0,45
2023-09-10,Sidama,23.55,29.21,22.19,5.94,67
2023-09-11,SNNP,18.96,26.26,12.28,8.73,70
2023-09-12,Oromia,16.71,28.08,12.47,0.29,36
2023-09-13,Tigray,17.41,21.31,16.92,0.0,82
2023-09-14,Amhara,23.46,25.13,22.94,3.83,92
2023-09-15,Tigray,21.72,24.85,16.24,0.0,61
2023-09-16,Amhara,28.38,30.68,10.88,0.0,67
2023-09-17,Sidama,25.95,25.71,13.58,2.9,51
2023-09-18,Sidama,25.94,25.83,16.81,0.0,45
2023-09-19,Amhara,23.32,26.49,16.96,0.0,81
2023-09-20,Tigray,17.19,25.01,13.18,0.0,58
2023-09-21,Amhara,23.63,29.08,13.5,2.51,45
2023-09-22,Oromia,22.32,29.51,12.07,0.0,46
2023-09-23,Sidama,16.31,31.3,20.56,0.0,93
2023-09-24,Oromia,28.05,30.61,12.66,20.38,42
2023-09-25,Sidama,27.51,30.21,14.14,12.95,85
2023-09-26,Sidama,16.28,26.68,14.03,7.7,34
2023-09-27,SNNP,18.81,26.43,9.58,1.97,41
2023-09-28,Oromia,19.25,24.52,12.55,0.0,70
2023-09-29,Oromia,25.05,24.44,20.91,0.0,32
2023-09-30,SNNP,24.47,28.78,11.16,0.0,62
2023-10-01,Tigray,22.22,25.12,12.15,6.83,79
2023-10-02,Oromia,23.37,33.87,10.67,0.0,85
2023-10-03,Amhara,15.56,27.85,15.64,0.25,38
2023-10-04,SNNP,23.91,34.01,23.54,0.0,79
2023-10-05,Oromia,21.5,30.29,15.47,2.95,58
2023-10-06,Tigray,18.6,24.89,16.27,0.0,68
2023-10-07,Oromia,14.34,27.75,12.82,0.0,74
2023-10-08,Sidama,22.13,21.31,15.75,0.66,46
2023-10-09,Amhara,23.78,28.76,20.92,0.0,85
2023-10-10,SNNP,13.49,25.26,16.57,0.0,75
2023-10-11,Sidama,22.09,23.55,24.53,0.37,43
2023-10-12,Tigray,22.61,34.09,21.04,5.39,52
2023-10-13,Sidama,19.23,32.12,15.65,0.0,90
2023-10-14,Sidama,23.9,32.01,15.58,0.0,52
2023-10-15,Tigray,21.34,31.13,22.52,24.53,56
2023-10-16,Sidama,23.42,23.06,16.55,0.0,83
2023-10-17,SNNP,24.67,26.4,21.64,0.0,39
2023-10-18,Oromia,24.67,26.64,24.01,0.55,45
2023-10-19,Sidama,27.08,21.16,15.18,0.0,70
2023-10-20,SNNP,23.69,25.77,17.41,0.0,84
2023-10-21,Oromia,19.61,25.82,19.92,8.71,90
2023-10-22,Oromia,18.76,28.5,19.07,0.0,78
2023-10-23,Sidama,16.68,38.13,19.04,0.0,81
2023-10-24,SNNP,22.76,27.92,10.67,0.0,31
2023-10-25,Sidama,28.61,28.51,12.61,4.05,79
2023-10-26,Tigray,20.21,27.0,14.02,2.09,72
2023-10-27,Oromia,24.25,30.95,20.86,16.33,37
2023-10-28,Sidama,18.24,23.7,11.06,0.0,88
2023-10-29,Oromia,22.97,35.58,22.09,0.33,94
2023-10-30,SNNP,28.3,27.5,19.12,5.15,41
2023-10-31,Amhara,25.43,26.42,20.62,0.0,33
2023-11-01,Sidama,14.15,31.88,12.28,0.0,70
2023-11-02,Sidama,24.85,24.44,16.29,0.0,36
2023-11-03,Oromia,25.08,30.88,17.2,0.0,59
2023-11-04,SNNP,22.87,33.62,17.02,0.0,35
2023-11-05,Tigray,25.34,27.03,17.18,0.0,48
2023-11-06,SNNP,17.83,36.21,14.89,0.0,39
2023-11-07,Sidama,22.32,30.58,16.54,0.0,45
2023-11-08,Tigray,27.55,30.63,20.13,0.0,66
2023-11-09,SNNP,27.1,33.46,11.33,0.0,61
2023-11-10,Amhara,24.74,34.52,22.19,0.0,76
2023-11-11,Oromia,17.59,29.05,19.93,0.0,72
2023-11-12,SNNP,16.8,31.19,12.14,0.0,65
2023-11-13,SNNP,22.57,33.59,17.54,3.27,55
2023-11-14,Amhara,22.9,23.35,19.61,2.57,39
2023-11-15,Sidama,21.5,21.08,11.06,0.0,60
2023-11-16,Oromia,17.98,27.77,16.17,2.92,58
2023-11-17,SNNP,24.18,20.99,15.69,7.36,34
2023-11-18,Tigray,22.55,26.74,13.42,0.0,30
2023-11-19,SNNP,23.45,29.26,16.37,0.0,32
2023-11-20,Oromia,24.97,26.9,13.6,5.52,64
2023-11-21,SNNP,20.63,27.43,21.5,17.99,44
2023-11-22,Amhara,19.56,23.99,13.49,4.67,59
2023-11-23,SNNP,27.54,31.15,19.17,0.64,72
2023-11-24,SNNP,18.21,23.75,9.38,0.0,89
2023-11-25,Tigray,19.65,19.59,15.35,0.0,69
2023-11-26,Amhara,28.17,27.17,16.05,0.0,94
2023-11-27,Amhara,19.26,31.66,15.22,4.68,58
2023-11-28,SNNP,21.51,28.32,14.41,0.0,48
2023-11-29,Tigray,19.94,23.34,13.33,0.0,32
2023-11-30,SNNP,13.08,28.41,19.02,0.0,65
2023-12-01,SNNP,21.38,29.75,20.0,6.79,72
2023-12-02,Oromia,16.95,28.36,15.67,5.42,44
2023-12-03,Oromia,23.27,26.94,11.61,0.0,70
2023-12-04,Tigray,27.53,29.94,23.18,0.51,65
2023-12-05,Sidama,10.93,21.05,12.48,0.0,62
2023-12-06,Oromia,19.97,24.42,10.16,4.03,34
2023-12-07,Sidama,24.26,22.78,7.95,1.04,43
2023-12-08,Amhara,11.08,33.39,16.4,0.0,76
2023-12-09,Oromia,28.68,30.85,15.13,0.0,83
2023-12-10,Oromia,23.9,28.74,20.12,24.65,33
2023-12-11,Tigray,27.42,22.2,18.44,7.65,38
2023-12-12,Sidama,19.18,30.98,17.16,12.75,82
2023-12-13,Oromia,19.78,33.55,14.91,0.0,89
2023-12-14,Oromia,21.2,30.29,20.44,16.17,75
2023-12-15,Tigray,32.69,27.86,23.47,0.77,83
2023-12-16,Tigray,28.59,30.53,20.04,0.0,66
2023-12-17,Sidama,22.66,29.09,14.15,0.0,52
2023-12-18,Amhara,23.27,31.7,19.13,2.15,56
2023-12-19,Amhara,25.17,31.61,14.39,0.0,90
2023-12-20,SNNP,33.96,27.12,11.58,0.69,80
2023-12-21,Oromia,23.91,25.36,12.4,0.66,79
2023-12-22,Sidama,22.23,26.4,14.57,0.0,48
2023-12-23,Oromia,20.31,30.14,16.42,0.0,30
2023-12-24,Sidama,23.17,26.64,24.24,0.0,69
2023-12-25,Sidama,19.06,25.0,12.47,4.07,61
2023-12-26,Sidama,24.48,28.0,21.29,0.0,51
2023-12-27,Oromia,14.84,32.43,14.73,0.0,69
2023-12-28,Tigray,20.7,28.54,7.93,0.88,67
2023-12-29,Oromia,25.67,26.9,13.98,0.0,77
2023-12-30,Sidama,23.85,29.28,20.71,0.4,84
2023-12-31,SNNP,19.69,28.34,17.38,5.68,84
