school_id,region,woreda,school_level,total_enrollment,female_enrollment,num_teachers,distance_from_town_km,has_electricity,has_internet
SCH-1102,Tigray,Woreda-32,Secondary,1224,253,28,7.6,True,False
SCH-1103,Tigray,Woreda-16,Primary,706,124,15,9.7,False,True
SCH-1104,Sidama,Woreda-16,Preparatory,1480,783,30,10.1,False,False
SCH-1105,Oromia,Woreda-46,Primary,132,124,38,13.8,False,False
SCH-1106,Oromia,Woreda-39,Primary,1352,528,32,4.4,True,True
SCH-1107,Oromia,Woreda-31,Secondary,961,104,7,17.4,True,False
SCH-1108,Amhara,Woreda-43,Primary,254,254,15,4.6,True,False
SCH-1109,Sidama,Woreda-24,Secondary,1004,702,18,8.1,False,True
SCH-1110,Oromia,Woreda-1,Primary,1369,666,30,12.8,True,False
SCH-1111,Tigray,Woreda-11,Preparatory,504,103,25,20.0,True,False
SCH-1112,SNNP,Woreda-21,Primary,943,382,34,18.6,True,False
SCH-1113,SNNP,Woreda-4,Preparatory,1284,391,12,16.3,True,False
SCH-1114,Oromia,Woreda-7,Preparatory,846,197,24,4.3,True,False
SCH-1115,SNNP,Woreda-26,Primary,1240,628,36,13.9,True,False
SCH-1116,SNNP,Woreda-47,Preparatory,370,370,26,2.6,True,True
SCH-1117,Amhara,Woreda-12,Primary,869,697,11,9.7,True,False
SCH-1118,Tigray,Woreda-31,Primary,271,271,13,10.6,False,False
SCH-1119,Tigray,Woreda-17,Preparatory,373,264,5,1.5,False,True
SCH-1120,Amhara,Woreda-33,Preparatory,358,352,33,7.2,False,False
SCH-1121,Amhara,Woreda-11,Secondary,1258,654,12,23.9,False,False
SCH-1122,SNNP,Woreda-28,Preparatory,521,505,8,23.9,True,False
SCH-1123,Sidama,Woreda-32,Secondary,1309,127,39,9.1,True,False
SCH-1124,SNNP,Woreda-1,Preparatory,463,342,7,1.6,False,False
SCH-1125,Amhara,Woreda-47,Primary,477,477,11,4.9,True,False
SCH-1126,Tigray,Woreda-28,Preparatory,679,474,31,10.1,True,False
SCH-1127,SNNP,Woreda-42,Primary,990,721,5,23.7,True,False
SCH-1128,Sidama,Woreda-7,Primary,821,174,31,4.0,True,False
SCH-1129,SNNP,Woreda-2,Primary,1319,89,20,19.2,True,False
SCH-1130,Oromia,Woreda-42,Secondary,980,471,11,3.2,True,False
SCH-1131,SNNP,Woreda-24,Preparatory,1221,379,27,24.5,True,False
SCH-1132,Amhara,Woreda-4,Primary,704,386,15,9.8,False,False
SCH-1133,Tigray,Woreda-44,Primary,121,121,37,19.5,True,False
SCH-1134,Tigray,Woreda-19,Secondary,1295,386,21,8.9,True,True
SCH-1135,Amhara,Woreda-26,Preparatory,482,482,39,15.9,True,False
SCH-1136,Oromia,Woreda-11,Preparatory,233,233,9,5.2,False,False
SCH-1137,Amhara,Woreda-40,Secondary,1148,148,36,4.1,True,True
SCH-1138,SNNP,Woreda-43,Secondary,602,572,7,23.5,True,False
SCH-1139,Amhara,Woreda-11,Preparatory,1308,129,39,23.0,True,False
SCH-1140,Amhara,Woreda-45,Secondary,1208,335,18,22.2,True,False
SCH-1141,Oromia,Woreda-3,Preparatory,243,151,35,15.8,False,False
SCH-1142,SNNP,Woreda-12,Preparatory,323,323,35,20.3,False,False
SCH-1143,Sidama,Woreda-3,Primary,319,216,21,2.2,True,False
SCH-1144,Sidama,Woreda-42,Primary,278,278,28,8.7,True,True
SCH-1145,Tigray,Woreda-27,Preparatory,532,532,27,8.2,False,False
SCH-1146,Amhara,Woreda-49,Preparatory,364,140,22,16.1,True,False
SCH-1147,Tigray,Woreda-2,Preparatory,1053,797,18,9.2,True,False
SCH-1148,Oromia,Woreda-49,Preparatory,528,528,19,4.1,True,False
SCH-1149,Sidama,Woreda-16,Preparatory,515,515,19,15.1,False,False
SCH-1150,Amhara,Woreda-2,Preparatory,826,440,10,20.5,True,False
SCH-1151,Oromia,Woreda-30,Secondary,296,67,31,9.9,True,True
SCH-1152,Oromia,Woreda-20,Preparatory,1176,576,19,3.7,False,True
SCH-1153,Amhara,Woreda-38,Secondary,579,97,12,5.3,True,False
SCH-1154,Oromia,Woreda-28,Secondary,1453,537,19,6.3,True,False
SCH-1155,Amhara,Woreda-25,Preparatory,1374,336,7,7.8,False,False
SCH-1156,Amhara,Woreda-32,Preparatory,989,173,17,16.2,True,False
SCH-1157,SNNP,Woreda-10,Secondary,1024,370,38,15.2,True,True
SCH-1158,Tigray,Woreda-42,Secondary,222,222,28,17.6,True,False
SCH-1159,Oromia,Woreda-40,Preparatory,1462,589,36,9.4,True,False
SCH-1160,Oromia,Woreda-33,Preparatory,877,114,36,20.7,True,False
SCH-1161,SNNP,Woreda-13,Secondary,447,447,34,5.5,True,False
SCH-1162,SNNP,Woreda-41,Secondary,128,128,17,12.0,True,False
SCH-1163,SNNP,Woreda-42,Secondary,1074,542,5,20.1,False,True
SCH-1164,Sidama,Woreda-47,Primary,134,134,38,4.9,True,False
SCH-1165,Sidama,Woreda-37,Secondary,722,264,19,3.2,True,False
SCH-1166,Sidama,Woreda-16,Primary,1417,703,18,22.2,True,False
SCH-1167,Amhara,Woreda-45,Preparatory,688,570,33,8.9,False,False
SCH-1168,Oromia,Woreda-22,Preparatory,1472,185,38,17.3,True,True
SCH-1169,Tigray,Woreda-20,Secondary,1270,280,22,1.1,True,True
SCH-1170,Amhara,Woreda-43,Preparatory,1190,383,11,17.4,True,False
SCH-1171,Oromia,Woreda-27,Preparatory,1003,788,33,8.2,True,False
SCH-1172,Oromia,Woreda-41,Preparatory,619,74,35,1.9,True,True
SCH-1173,SNNP,Woreda-16,Preparatory,221,221,29,15.4,False,True
SCH-1174,SNNP,Woreda-34,Primary,439,40,18,6.4,True,True
SCH-1175,Amhara,Woreda-32,Primary,274,192,12,10.0,True,False
SCH-1176,SNNP,Woreda-26,Secondary,696,468,31,2.5,True,True
SCH-1177,Oromia,Woreda-25,Secondary,550,547,6,4.1,False,False
SCH-1178,SNNP,Woreda-2,Secondary,656,165,21,7.8,True,False
SCH-1179,Sidama,Woreda-12,Preparatory,1259,530,18,2.7,True,False
SCH-1180,SNNP,Woreda-40,Preparatory,1139,521,29,22.8,True,True
SCH-1181,Oromia,Woreda-9,Primary,1456,384,34,0.6,True,False
SCH-1182,Amhara,Woreda-12,Primary,1318,777,33,12.4,True,True
SCH-1183,Tigray,Woreda-26,Secondary,108,108,24,3.5,True,False
SCH-1184,SNNP,Woreda-9,Primary,433,433,25,8.0,True,False
SCH-1185,Oromia,Woreda-10,Primary,1456,64,26,23.2,True,False
SCH-1186,Tigray,Woreda-32,Primary,1116,567,39,4.5,True,False
SCH-1187,Tigray,Woreda-34,Primary,426,221,20,24.2,True,False
SCH-1188,Sidama,Woreda-48,Primary,114,114,21,5.5,True,False
SCH-1189,Tigray,Woreda-20,Secondary,938,680,20,18.7,False,False
SCH-1190,Oromia,Woreda-39,Secondary,325,81,6,13.9,False,False
SCH-1191,Oromia,Woreda-2,Primary,212,212,8,22.2,False,False
SCH-1192,SNNP,Woreda-1,Secondary,100,100,25,14.1,False,False
SCH-1193,SNNP,Woreda-36,Preparatory,365,365,38,13.6,True,False
SCH-1194,SNNP,Woreda-24,Primary,1331,441,34,5.3,False,False
SCH-1195,Tigray,Woreda-27,Preparatory,1051,585,10,4.6,True,False
SCH-1196,Tigray,Woreda-2,Secondary,1492,384,21,23.0,True,False
SCH-1197,Sidama,Woreda-31,Secondary,405,84,29,8.5,True,False
SCH-1198,SNNP,Woreda-14,Preparatory,111,111,9,9.6,True,False
SCH-1199,Amhara,Woreda-2,Secondary,1468,60,9,19.1,False,True
