farm_id,region,crop,area_hectares,fertilizer_kg,irrigation_used,yield_kg
207,Tigray,Coffee,9.11,43.58,True,684.21
208,Tigray,Sorghum,3.13,197.61,True,2531.84
209,Amhara,Wheat,9.84,90.8,True,2735.98
210,Amhara,Teff,1.84,137.65,False,1241.76
211,Amhara,Wheat,2.42,28.11,False,3103.08
212,Oromia,Wheat,2.25,97.12,False,2691.99
213,Oromia,Maize,8.99,5.51,False,2358.03
214,Oromia,Maize,6.72,101.09,True,2700.6
215,Sidama,Maize,1.94,192.8,True,2749.82
216,Tigray,Maize,4.68,76.84,False,1851.81
217,Tigray,Sorghum,6.35,7.8,False,3074.71
218,SNNP,Coffee,1.29,6.19,False,739.82
219,Oromia,Teff,8.88,77.6,True,1117.4
220,Sidama,Wheat,8.13,32.0,False,2875.69
221,Sidama,Sorghum,5.3,4.67,False,2873.58
222,Tigray,Teff,9.69,151.24,False,989.75
223,Oromia,Sorghum,4.47,91.7,False,2901.45
224,SNNP,Sorghum,9.85,57.85,False,2219.78
225,Oromia,Wheat,6.85,180.02,False,3409.79
226,Amhara,Coffee,6.53,23.23,True,634.36
227,Oromia,Maize,2.08,191.18,True,2619.74
228,Amhara,Coffee,8.88,62.79,True,643.6
229,Amhara,Wheat,4.56,177.68,False,3611.35
230,SNNP,Wheat,2.04,120.59,False,1881.09
231,Tigray,Wheat,0.62,165.34,False,2762.18
232,Oromia,Teff,5.82,196.8,True,979.53
233,Amhara,Coffee,5.51,57.68,False,729.18
234,Oromia,Coffee,7.33,192.23,False,890.71
235,Tigray,Sorghum,8.96,77.9,False,3112.29
236,Tigray,Sorghum,1.25,77.1,False,3311.7
237,Sidama,Sorghum,7.45,68.08,False,1731.53
238,Tigray,Wheat,2.28,108.28,False,2633.88
239,SNNP,Coffee,8.65,30.83,True,1091.9
240,Amhara,Wheat,8.28,110.74,False,1657.34
241,Sidama,Teff,5.64,108.34,True,1294.32
242,SNNP,Sorghum,7.25,152.38,True,2498.96
243,Oromia,Wheat,3.49,166.73,True,2707.27
244,Amhara,Wheat,4.98,88.09,False,2113.85
245,Tigray,Teff,8.31,60.47,False,769.31
246,Amhara,Maize,4.86,51.87,False,1543.45
247,Oromia,Coffee,3.9,38.92,True,995.28
248,Sidama,Maize,5.2,11.53,False,3052.02
249,Sidama,Sorghum,8.37,68.49,False,2651.34
250,Sidama,Wheat,3.68,54.05,False,2232.93
251,Tigray,Teff,2.15,193.28,False,713.09
252,SNNP,Teff,7.26,111.54,True,1369.0
253,SNNP,Coffee,8.35,69.46,False,579.84
254,Amhara,Maize,1.46,116.09,False,2144.35
255,Tigray,Coffee,2.78,27.84,True,682.69
256,Sidama,Wheat,1.85,88.81,False,2401.23
257,Sidama,Coffee,3.81,125.25,False,648.19
258,Oromia,Teff,4.78,97.78,False,1210.04
259,Oromia,Teff,7.61,80.36,True,1013.45
260,Sidama,Sorghum,6.69,198.77,True,2850.69
261,Sidama,Sorghum,6.4,176.06,True,3015.53
262,Tigray,Wheat,3.85,124.68,False,2554.27
263,SNNP,Maize,8.49,113.88,False,2731.31
264,Oromia,Coffee,4.98,124.13,True,1223.57
265,SNNP,Wheat,9.8,40.26,False,1913.7
266,Tigray,Sorghum,6.52,79.03,False,1883.27
267,Sidama,Coffee,1.7,7.89,True,939.0
268,SNNP,Sorghum,6.92,95.11,False,3473.27
269,Sidama,Coffee,3.59,108.6,False,747.9
270,Sidama,Maize,7.02,45.55,True,3363.42
271,Amhara,Wheat,1.16,192.81,True,2548.22
272,SNNP,Coffee,2.16,181.89,False,663.82
273,SNNP,Teff,8.63,144.43,False,902.79
274,Sidama,Teff,2.66,106.68,False,1388.82
275,Tigray,Coffee,8.45,173.99,False,617.01
276,Amhara,Coffee,3.15,26.13,True,816.26
277,Sidama,Coffee,6.61,158.1,True,1116.69
278,Oromia,Teff,7.09,24.96,False,1107.97
279,Oromia,Teff,5.37,158.84,True,1594.2
280,Amhara,Coffee,3.4,55.15,True,557.09
281,Tigray,Sorghum,2.52,175.42,False,2233.05
282,Sidama,Sorghum,0.82,188.81,False,1796.43
283,SNNP,Maize,3.39,29.76,False,2536.5
284,Amhara,Wheat,6.71,92.54,False,2890.04
285,Tigray,Sorghum,9.41,196.2,True,2537.59
286,SNNP,Teff,8.78,96.68,False,1568.12
287,Oromia,Sorghum,7.78,172.71,True,2125.41
288,Oromia,Maize,7.99,117.75,False,2612.67
289,SNNP,Maize,6.82,75.07,False,2236.27
290,Amhara,Wheat,2.97,57.16,False,2680.84
291,Oromia,Sorghum,9.12,40.64,False,2751.87
292,Sidama,Teff,6.87,152.36,False,1374.72
293,SNNP,Teff,5.82,77.31,True,878.82
294,SNNP,Coffee,1.55,102.26,False,622.05
295,Oromia,Teff,4.75,98.47,False,988.71
296,Amhara,Wheat,4.87,115.46,True,2380.56
297,Sidama,Wheat,8.71,173.12,False,2543.59
298,Amhara,Teff,5.69,196.15,False,1412.43
299,Tigray,Teff,4.11,81.52,True,945.57
300,Tigray,Coffee,9.78,165.5,False,479.8
