region,zone,facility_name,num_patients_per_month,disease,prevalence_per_1000,distance_to_major_road_km,staff_count,has_lab
Amhara,Zone-4,Clinic-62,901,Hypertension,67.9,13.7,15,False
Oromia,Zone-4,Clinic-63,1017,HIV,149.6,20.3,19,False
Sidama,Zone-5,Clinic-64,1958,Diabetes,86.1,20.4,19,False
Tigray,Zone-3,Clinic-65,1257,Hypertension,51.6,11.3,7,False
Sidama,Zone-1,Clinic-66,1842,Hypertension,36.9,28.3,8,False
Tigray,Zone-1,Clinic-67,1406,Malaria,55.8,5.1,21,True
Sidama,Zone-7,Clinic-68,1901,Diabetes,59.0,15.1,15,True
SNNP,Zone-1,Clinic-69,172,TB,15.0,20.8,16,True
Oromia,Zone-1,Clinic-70,580,Malaria,58.6,20.9,24,False
Tigray,Zone-3,Clinic-71,1475,Malaria,72.3,19.5,6,True
Amhara,Zone-4,Clinic-72,659,HIV,109.8,8.3,9,True
Oromia,Zone-4,Clinic-73,1449,HIV,100.2,4.8,10,False
Amhara,Zone-2,Clinic-74,844,HIV,107.8,19.1,15,False
Oromia,Zone-1,Clinic-75,1566,Malaria,6.2,18.0,8,True
Oromia,Zone-3,Clinic-76,199,TB,36.6,5.5,8,True
Sidama,Zone-4,Clinic-77,1182,Hypertension,100.9,21.2,23,True
Tigray,Zone-3,Clinic-78,607,HIV,75.2,13.7,5,False
Tigray,Zone-8,Clinic-79,357,TB,5.8,20.1,5,False
Oromia,Zone-1,Clinic-80,512,Diabetes,121.7,25.1,15,True
SNNP,Zone-2,Clinic-81,1575,HIV,117.1,5.2,24,True
SNNP,Zone-7,Clinic-82,1188,Hypertension,84.5,0.7,4,True
Amhara,Zone-4,Clinic-83,694,Diabetes,14.6,23.4,18,True
Amhara,Zone-8,Clinic-84,1277,Diabetes,116.1,18.3,24,False
Sidama,Zone-3,Clinic-85,365,Hypertension,89.6,21.0,8,False
Oromia,Zone-6,Clinic-86,920,HIV,118.4,25.2,10,False
Amhara,Zone-9,Clinic-87,1202,Malaria,114.0,24.1,10,False
Amhara,Zone-1,Clinic-88,1438,Hypertension,121.4,28.8,8,True
Oromia,Zone-1,Clinic-89,761,Hypertension,80.1,16.1,16,False
Sidama,Zone-8,Clinic-90,1046,Hypertension,25.3,14.7,5,False
Amhara,Zone-3,Clinic-91,659,Diabetes,102.3,12.1,12,True
Sidama,Zone-5,Clinic-92,1016,TB,95.0,4.7,5,False
Tigray,Zone-1,Clinic-93,990,Malaria,112.6,17.2,14,True
Sidama,Zone-5,Clinic-94,1371,HIV,29.6,8.4,19,True
SNNP,Zone-6,Clinic-95,1913,HIV,33.3,27.6,7,True
SNNP,Zone-8,Clinic-96,967,TB,134.1,17.5,22,False
Sidama,Zone-3,Clinic-97,709,Hypertension,113.7,17.8,11,False
SNNP,Zone-3,Clinic-98,513,Malaria,136.7,10.7,23,False
Tigray,Zone-9,Clinic-99,124,HIV,115.0,1.7,22,False
Oromia,Zone-4,Clinic-100,383,HIV,91.6,1.0,9,False
SNNP,Zone-4,Clinic-101,1572,Hypertension,99.8,12.8,24,False
SNNP,Zone-7,Clinic-102,980,TB,133.9,2.6,6,True
Sidama,Zone-2,Clinic-103,400,Malaria,88.9,18.2,15,False
Tigray,Zone-8,Clinic-104,1191,TB,96.7,26.4,15,True
Oromia,Zone-6,Clinic-105,1130,TB,27.7,26.5,12,False
Sidama,Zone-3,Clinic-106,916,Malaria,73.7,19.8,20,False
Sidama,Zone-9,Clinic-107,1260,Malaria,108.9,6.4,19,True
Tigray,Zone-5,Clinic-108,1287,HIV,44.3,25.9,22,False
Oromia,Zone-8,Clinic-109,182,HIV,34.3,26.6,22,False
Tigray,Zone-7,Clinic-110,1773,Malaria,50.5,6.0,15,False
Oromia,Zone-8,Clinic-111,1543,Diabetes,40.0,22.1,19,True
Tigray,Zone-7,Clinic-112,1196,HIV,36.2,8.7,24,True
Sidama,Zone-3,Clinic-113,1360,Diabetes,66.6,24.1,6,True
Sidama,Zone-2,Clinic-114,145,Malaria,136.6,29.9,3,True
Amhara,Zone-7,Clinic-115,717,HIV,78.5,1.0,3,True
SNNP,Zone-3,Clinic-116,1027,TB,32.2,26.9,17,False
Tigray,Zone-3,Clinic-117,1923,Malaria,16.2,18.7,15,True
Amhara,Zone-2,Clinic-118,361,Hypertension,105.9,29.2,19,False
SNNP,Zone-4,Clinic-119,275,Diabetes,60.5,14.0,10,False
Tigray,Zone-8,Clinic-120,1289,Malaria,124.2,25.4,20,False
Oromia,Zone-1,Clinic-121,756,Malaria,100.6,2.0,15,False
SNNP,Zone-1,Clinic-122,941,HIV,120.5,10.1,16,False
Sidama,Zone-5,Clinic-123,469,HIV,44.4,2.1,10,False
Amhara,Zone-5,Clinic-124,1918,HIV,105.4,29.3,10,True
SNNP,Zone-1,Clinic-125,153,Hypertension,43.3,24.5,17,True
SNNP,Zone-6,Clinic-126,789,HIV,141.2,25.6,15,False
Sidama,Zone-1,Clinic-127,1542,Malaria,97.3,28.1,9,True
Tigray,Zone-5,Clinic-128,1879,HIV,52.1,2.6,7,True
Oromia,Zone-9,Clinic-129,1630,TB,44.1,11.6,19,True
Sidama,Zone-5,Clinic-130,1464,HIV,32.7,2.2,18,True
Oromia,Zone-6,Clinic-131,1250,Hypertension,105.7,6.4,4,False
Tigray,Zone-8,Clinic-132,1532,TB,36.7,7.0,24,True
SNNP,Zone-1,Clinic-133,466,Malaria,91.3,14.1,20,False
Oromia,Zone-2,Clinic-134,1394,Malaria,43.4,8.1,19,False
Amhara,Zone-9,Clinic-135,743,Diabetes,101.0,3.1,9,False
Amhara,Zone-3,Clinic-136,1728,TB,123.2,5.1,15,False
Sidama,Zone-6,Clinic-137,478,Diabetes,117.8,4.5,20,False
Tigray,Zone-5,Clinic-138,172,TB,115.3,29.2,16,True
Sidama,Zone-2,Clinic-139,1014,TB,32.2,22.8,20,False
Sidama,Zone-7,Clinic-140,1371,Hypertension,17.8,29.0,15,False
Sidama,Zone-4,Clinic-141,959,Diabetes,106.3,13.2,13,False
Amhara,Zone-1,Clinic-142,1908,Hypertension,58.4,8.4,23,False
Amhara,Zone-4,Clinic-143,142,TB,67.7,24.0,23,True
Sidama,Zone-6,Clinic-144,476,Malaria,9.5,9.9,18,False
Amhara,Zone-7,Clinic-145,1164,TB,42.6,9.1,19,False
Tigray,Zone-7,Clinic-146,269,Hypertension,9.9,7.1,10,True
Sidama,Zone-7,Clinic-147,311,Diabetes,132.5,4.0,21,False
Amhara,Zone-3,Clinic-148,1616,Diabetes,40.3,7.8,22,True
Oromia,Zone-6,Clinic-149,1803,Hypertension,85.8,10.7,17,True
Sidama,Zone-8,Clinic-150,138,Diabetes,10.7,20.3,11,True
